Таблица  - Проверочные прогнозы максимумов весеннего половодья
р.Неман-Гродно
Предикторы:;; Smax, H_2802, X, X3
Уравнение:;; 139.542 + 2.354*Smax - 0.158*H_2802 - 0.219*X + 0.462*X3
Модель:;; OMP4

№;Год;Hmax фактический;Hф-Hср;(Hф-Hср)^2;δ50% Погрешность климатических прогнозов в долях от допустимой погрешности;Hmax прогнозный;Hф-Hп;(Hф-Hп)^2;δ50% Погрешность проверочных прогнозов в долях от допустимой погрешности
1.0;1977.0;241.0;-38.081081081081095;1450.1687363038725;-0.6012761376654464;236.24725869585683;4.752741304143171;22.588549904108532;0.07504277330240947
2.0;1978.0;340.0;60.918918918918905;3711.114682249816;0.9618711244129988;346.5891608231659;-6.589160823165912;43.41704035354448;-0.10403867373865
3.0;1979.0;628.0;348.9189189189189;121744.4119795471;5.509208614095749;460.39809645794685;167.60190354205315;28090.398070919688;2.646327844857536
4.0;1980.0;342.0;62.918918918918905;3958.790357925491;0.9934498569802401;353.5215347893942;-11.521534789394195;132.74576390322073;-0.18191773293922314
5.0;1981.0;282.0;2.918918918918905;8.52008765522271;0.04608787996300062;268.6252830194616;13.37471698053838;178.8830543095017;0.2111783053454814
6.0;1982.0;399.0;119.9189189189189;14380.547114682246;1.8934437351466176;352.3762032142182;46.62379678578179;2173.7784267218767;0.7361602049838043
7.0;1983.0;269.0;-10.081081081081095;101.62819576333118;-0.15917388172406793;238.04248433984196;30.957515660158037;958.3677758489301;0.48879955398915786
8.0;1984.0;206.0;-73.0810810810811;5340.8444119795495;-1.1539039575921695;249.06253208152515;-43.06253208152515;1854.3816692723826;-0.6799300921353661
9.0;1985.0;336.0;56.918918918918905;3239.7633308984646;0.8987136592785162;309.48087841786935;26.51912158213065;703.2638094878278;0.41872012418013066
10.0;1986.0;329.0;49.918918918918905;2491.8984660335996;0.7881880952931716;364.36222415457644;-35.36222415457644;1250.4868971585092;-0.5583471097801053
11.0;1987.0;350.0;70.9189189189189;5029.493060628194;1.1197647872492054;300.1220389485935;49.87796105140649;2487.8109986456225;0.787541396520822
12.0;1988.0;401.0;121.9189189189189;14864.222790357922;1.925022467713859;214.68967652393664;186.31032347606336;34711.536633755364;2.941721939783413
13.0;1989.0;161.0;-118.0810810810811;13943.141709276848;-1.864425440355099;257.0465647598508;-96.04656475985081;9224.942602168216;-1.5165143912767765
14.0;1991.0;243.0;-36.081081081081095;1301.844411979548;-0.5696974050982051;260.83743485273885;-17.837434852738852;318.1740821257027;-0.28164179245011484
15.0;1992.0;182.0;-97.0810810810811;9424.736303871441;-1.5328487483990652;188.33152950368435;-6.331529503684351;40.0882658560254;-0.09997083846922313
16.0;1993.0;237.0;-42.081081081081095;1770.8173849525213;-0.664433602799929;240.4913457447422;-3.4913457447422047;12.1894951093295;-0.05512613678649503
17.0;1994.0;378.0;98.9189189189189;9784.952520087652;1.561867043190584;241.43176103578728;136.56823896421272;18650.88389378631;2.1563259477149894
18.0;1995.0;234.0;-45.081081081081095;2032.3038714390077;-0.7118017016507909;190.77330636186548;43.22669363813452;1868.5470428851395;0.6825220990823608
19.0;1996.0;377.0;97.9189189189189;9588.114682249814;1.546077676906963;431.9401100868314;-54.940110086831396;3018.4156963531527;-0.8674695218234229
20.0;1999.0;305.0;25.918918918918905;671.7903579254923;0.40924330448627577;269.65255131215235;35.347448687847645;1249.4421287400223;0.5581138145239128
21.0;2001.0;169.0;-110.0810810810811;12117.84441197955;-1.7381105100861338;174.12010082784408;-5.120100827844084;26.21543248728967;-0.0808431473798996
22.0;2003.0;256.0;-23.081081081081095;532.7363038714396;-0.3644356434111365;328.623603848397;-72.62360384839701;5274.187835928905;-1.1466806819989033
23.0;2004.0;272.0;-7.081081081081095;50.14170927684461;-0.11180578287320596;285.1269512580079;-13.12695125800792;172.31684933011573;-0.20726624159992205
24.0;2005.0;232.0;-47.081081081081095;2216.6281957633323;-0.7433804342180323;287.69128481791336;-55.691284817913356;3101.5192046699467;-0.8793300947954762
25.0;2006.0;289.0;9.918918918918905;98.38495252008738;0.15661344394834523;289.92799426285336;-0.9279942628533604;0.8611733518887518;-0.014652441325290255
26.0;2007.0;363.0;83.9189189189189;7042.384952520085;1.325026548936274;296.31273024720554;66.68726975279446;4447.191947081976;1.0529497285814886
27.0;2008.0;160.0;-119.0810810810811;14180.30387143901;-1.8802148066387196;161.03495494216318;-1.034954942163182;1.0711317323079956;-0.016341282668857916
28.0;2009.0;186.0;-93.0810810810811;8664.087655222793;-1.4696912832645825;218.39081086709803;-32.390810867098025;1049.1646286281155;-0.5114303770040912
29.0;2010.0;327.0;47.918918918918905;2296.222790357924;0.7566093627259303;366.8453329088362;-39.84533290883621;1587.650554615986;-0.6291325559904192
30.0;2011.0;261.0;-18.081081081081095;326.9254930606287;-0.2854888119930332;268.0126396559799;-7.0126396559799105;49.17711494462203;-0.11072513614331037
31.0;2012.0;205.0;-74.0810810810811;5488.006574141711;-1.16969332387579;252.51325342425375;-47.51325342425375;2257.5092509573606;-0.750204161642036
32.0;2013.0;314.0;34.918918918918905;1219.3308984660325;0.5513476010388617;351.97072632673246;-37.97072632673246;1441.7760577796137;-0.5995337060278968
33.0;2015.0;143.0;-136.0810810810811;18518.060628195766;-2.148634033460271;183.3871732897855;-40.387173289785494;1631.1237663391628;-0.6376878722324839
34.0;2017.0;296.0;16.918918918918905;286.24981738495205;0.26713900793368983;298.909890881607;-2.909890881606998;8.467464942859552;-0.045945332975060725
35.0;2018.0;249.0;-30.081081081081095;904.871439006575;-0.4749612073964811;264.6451794496848;-15.645179449684804;244.7716400128397;-0.24702746890404806
36.0;2019.0;171.0;-108.0810810810811;11681.520087655226;-1.7065317775188924;202.11348900750534;-31.113489007505336;968.0491982201554;-0.49126227430090674
37.0;2021.0;193.0;-86.0810810810811;7409.952520087658;-1.359165719279238;322.3519088600942;-129.35190886009423;16731.916325750124;-2.042384668477544
Сумма;;10326.0
Средний;;279.0810810810811
Высший;;628.0
Низший;;143.0

σ = ;;93.96700909786794;;σ -;среднеквадратическое отклонение (см)
δдоп =;;63.333764131963;;δдоп -;допустимая погрешность прогноза (см)
Pк =;;54.054054054054056;;Pк -;климатическая обеспеченность в %
Pм =;;81.08108108108108;;Pм -;обеспеченность метода в %
S =;;63.679604155420506;;;(допустимой погрешности проверочных прогнозов)
S/σ =;;0.6776804408991811;;S -;среднеквадратическая погрешность (см)
(S/σ)^2 =;;0.4592507799773085;;S/σ -;критерий эффективности метода прогнозирования
ρ =;;0.7353565257905117;;ρ -;корреляционное отношение
;;;;;(оценка эффективности метода прогнозирования)
;;;;δ50% -;погрешность (ошибка) прогнозов (см)
